trade_day,month,serial,sandp,corn
29-Dec-16,12/1/2016,42705,2249.3,349.75
30-Dec-16,12/1/2016,42705,2238.8,352
3-Jan-17,1/1/2017,42736,2257.8,355.75
4-Jan-17,1/1/2017,42736,2270.8,359.75
5-Jan-17,1/1/2017,42736,2269,361.25
6-Jan-17,1/1/2017,42736,2277,358
9-Jan-17,1/1/2017,42736,2268.9,360
10-Jan-17,1/1/2017,42736,2268.9,358.25
11-Jan-17,1/1/2017,42736,2275.3,357.25
12-Jan-17,1/1/2017,42736,2270.4,358.25
13-Jan-17,1/1/2017,42736,2274.6,358.5
17-Jan-17,1/1/2017,42736,2267.9,365.5
18-Jan-17,1/1/2017,42736,2271.9,365
19-Jan-17,1/1/2017,42736,2263.7,366.25
20-Jan-17,1/1/2017,42736,2271.3,369.75
23-Jan-17,1/1/2017,42736,2265.2,369.5
24-Jan-17,1/1/2017,42736,2280.1,363.25
25-Jan-17,1/1/2017,42736,2298.4,366.25
26-Jan-17,1/1/2017,42736,2296.7,363.75
27-Jan-17,1/1/2017,42736,2294.7,362.5
30-Jan-17,1/1/2017,42736,2280.9,357.75
31-Jan-17,1/1/2017,42736,2278.9,359.75
1-Feb-17,2/1/2017,42767,2279.6,368.25
2-Feb-17,2/1/2017,42767,2280.9,367.5
3-Feb-17,2/1/2017,42767,2297.4,365.25
6-Feb-17,2/1/2017,42767,2292.6,363.75
7-Feb-17,2/1/2017,42767,2293.1,368.5
8-Feb-17,2/1/2017,42767,2294.7,370.75
9-Feb-17,2/1/2017,42767,2307.9,369.5
10-Feb-17,2/1/2017,42767,2316.1,374.5
