Date,Region,Cash,Contract,Futures
3/17/2016,North,3.69,Dec,3.87
3/24/2016,North,3.7,Dec,3.87
3/31/2016,North,3.52,Dec,3.69
4/7/2016,North,3.61,Dec,3.74
4/14/2016,North,3.72,Dec,3.86
4/21/2016,North,3.82,Dec,3.94
4/28/2016,North,3.85,Dec,3.95
5/5/2016,North,3.71,Dec,3.82
5/12/2016,North,3.87,Dec,3.96
5/19/2016,North,3.84,Dec,3.9725
5/26/2016,North,4.01,Dec,4.0975
6/2/2016,North,4.08,Dec,4.1675
6/9/2016,North,4.17,Dec,4.335
6/16/2016,North,4.15,Dec,4.3575
6/23/2016,North,3.77,Dec,3.9775
6/30/2016,North,3.49,Dec,3.7125
1/7/2016,North,3.71,Jul,3.65
1/14/2016,North,3.76,Jul,3.68
1/21/2016,North,3.85,Jul,3.77
1/28/2016,North,3.83,Jul,3.75
2/4/2016,North,3.86,Jul,3.79
2/11/2016,North,3.78,Jul,3.7
2/18/2016,North,3.81,Jul,3.74
2/25/2016,North,3.71,Jul,3.66
3/3/2016,North,3.62,Jul,3.61
3/10/2016,North,3.63,Jul,3.68
3/17/2016,North,3.69,Jul,3.73
3/24/2016,North,3.7,Jul,3.75
3/31/2016,North,3.52,Jul,3.56
4/7/2016,North,3.61,Jul,3.64
4/14/2016,North,3.72,Jul,3.78
4/21/2016,North,3.82,Jul,3.9
4/28/2016,North,3.85,Jul,3.91
5/5/2016,North,3.71,Jul,3.74
5/12/2016,North,3.87,Jul,3.89
5/19/2016,North,3.84,Jul,3.9
5/26/2016,North,4.01,Jul,4.0825
6/2/2016,North,4.08,Jul,4.1525
6/9/2016,North,4.17,Jul,4.265
6/16/2016,North,4.15,Jul,4.2525
6/23/2016,North,3.77,Jul,3.8725
6/30/2016,North,3.49,Jul,3.5875
1/7/2016,North,3.71,Sep,3.7
1/14/2016,North,3.76,Sep,3.74
1/21/2016,North,3.85,Sep,3.81
1/28/2016,North,3.83,Sep,3.8
2/4/2016,North,3.86,Sep,3.84
2/11/2016,North,3.78,Sep,3.75
2/18/2016,North,3.81,Sep,3.79
2/25/2016,North,3.71,Sep,3.72
3/3/2016,North,3.62,Sep,3.67
3/10/2016,North,3.63,Sep,3.72
3/17/2016,North,3.69,Sep,3.78
3/24/2016,North,3.7,Sep,3.79
3/31/2016,North,3.52,Sep,3.61
4/7/2016,North,3.61,Sep,3.67
4/14/2016,North,3.72,Sep,3.8
4/21/2016,North,3.82,Sep,3.89
4/28/2016,North,3.85,Sep,3.91
5/5/2016,North,3.71,Sep,3.76
5/12/2016,North,3.87,Sep,3.92
5/19/2016,North,3.84,Sep,3.925
5/26/2016,North,4.01,Sep,4.105
6/2/2016,North,4.08,Sep,4.1575
6/9/2016,North,4.17,Sep,4.305
6/16/2016,North,4.15,Sep,4.305
6/23/2016,North,3.77,Sep,3.925
6/30/2016,North,3.49,Sep,3.655
1/5/2017,Central,3.56,Dec,3.885
1/12/2017,Central,3.58,Dec,3.86
1/19/2017,Central,3.74,Dec,3.935
1/26/2017,Central,3.77,Dec,3.9075
2/2/2017,Central,3.61,Dec,3.945
2/9/2017,Central,3.64,Dec,3.9575
2/16/2017,Central,3.46,Dec,3.99
2/23/2017,Central,3.39,Dec,3.9175
3/2/2017,Central,3.38,Dec,3.985
3/9/2017,Central,3.29,Dec,3.8825
3/16/2017,Central,3.29,Dec,3.875
3/23/2017,Central,3.23,Dec,3.8
3/30/2017,Central,3.19,Dec,3.81
4/6/2017,Central,3.2,Dec,3.86
4/13/2017,Central,3.37,Dec,3.945
4/20/2017,Central,3.4,Dec,3.825
4/27/2017,Central,3.3,Dec,3.8675
5/4/2017,Central,3.21,Dec,3.845
5/11/2017,Central,3.25,Dec,3.8725
5/18/2017,Central,3.41,Dec,3.84
5/25/2017,Central,3.41,Dec,3.875
6/1/2017,Central,3.04,Dec,3.8925
6/8/2017,Central,3.33,Dec,4.0375
6/15/2017,Central,3.39,Dec,3.9775
6/22/2017,Central,3,Dec,3.8075
6/29/2017,Central,3.2,Dec,3.8
1/5/2017,Central,3.56,Jul,3.7425
1/12/2017,Central,3.58,Jul,3.7175
1/19/2017,Central,3.74,Jul,3.8
1/26/2017,Central,3.77,Jul,3.78
2/2/2017,Central,3.61,Jul,3.82
2/9/2017,Central,3.64,Jul,3.84
2/16/2017,Central,3.46,Jul,3.8775
2/23/2017,Central,3.39,Jul,3.7975
3/2/2017,Central,3.38,Jul,3.8625
3/9/2017,Central,3.29,Jul,3.745
3/16/2017,Central,3.29,Jul,3.735
3/23/2017,Central,3.23,Jul,3.645
3/30/2017,Central,3.19,Jul,3.65
4/6/2017,Central,3.2,Jul,3.685
4/13/2017,Central,3.37,Jul,3.78
4/20/2017,Central,3.4,Jul,3.6425
4/27/2017,Central,3.3,Jul,3.6925
